statement,Significant number 1 detected,Significant number 2 detected,equation generated,answer evaluated
add 45 and 71,45,71,x+y,116
add 53 and 34,53,34,x+y,87
add 22 and 35,22,35,x+y,57
add 38 and 97,38,97,x+y,135
add 87 and 71,87,71,x+y,158
add 31 and 81,31,81,x+y,112
add 40 and 97,40,97,x+y,137
add 8 and 40,8,40,x+y,48
add 28 and 49,28,49,x+y,77
add 27 and 26,27,26,x+y,53
add 64 and 72,64,72,x+y,136
add 74 and 27,74,27,x+y,101
add 56 and 4,56,4,x+y,60
add 63 and 66,63,66,x+y,129
add 23 and 40,23,40,x+y,63
add 24 and 51,24,51,x+y,75
add 34 and 31,34,31,x+y,65
add 54 and 33,54,33,x+y,87
add 38 and 16,38,16,x+y,54
add 45 and 28,45,28,x+y,73
add 75 and 8,75,8,x+y,83
add 17 and 45,17,45,x+y,62
add 89 and 97,89,97,x+y,186
add 93 and 66,93,66,x+y,159
add 79 and 13,79,13,x+y,92
add 87 and 17,87,17,x+y,104
add 85 and 59,85,59,x+y,144
add 16 and 40,16,40,x+y,56
add 44 and 46,44,46,x+y,90
add 32 and 72,32,72,x+y,104
add 6 and 44,6,44,x+y,50
add 44 and 25,44,25,x+y,69
add 19 and 17,19,17,x+y,36
add 34 and 34,34,34,x+y,68
add 60 and 92,60,92,x+y,152
add 96 and 40,96,40,x+y,136
add 77 and 82,77,82,x+y,159
add 34 and 77,34,77,x+y,111
add 84 and 60,84,60,x+y,144
add 49 and 59,49,59,x+y,108
add 43 and 24,43,24,x+y,67
add 65 and 8,65,8,x+y,73
add 10 and 23,10,23,x+y,33
add 30 and 35,30,35,x+y,65
add 98 and 98,98,98,x+y,196
add 16 and 6,16,6,x+y,22
add 80 and 48,80,48,x+y,128
add 65 and 61,65,61,x+y,126
add 8 and 27,8,27,x+y,35
add 81 and 85,81,85,x+y,166
add 71 and 75,71,75,x+y,146
add 22 and 80,22,80,x+y,102
add 74 and 99,74,99,x+y,173
add 94 and 78,94,78,x+y,172
add 32 and 48,32,48,x+y,80
add 67 and 43,67,43,x+y,110
add 73 and 28,73,28,x+y,101
add 64 and 89,64,89,x+y,153
add 15 and 4,15,4,x+y,19
add 80 and 97,80,97,x+y,177
add 42 and 45,42,45,x+y,87
add 3 and 38,3,38,x+y,41
add 42 and 92,42,92,x+y,134
add 95 and 32,95,32,x+y,127
add 42 and 20,42,20,x+y,62
add 46 and 88,46,88,x+y,134
add 22 and 79,22,79,x+y,101
add 71 and 93,71,93,x+y,164
add 80 and 7,80,7,x+y,87
add 70 and 83,70,83,x+y,153
add 18 and 30,18,30,x+y,48
add 41 and 54,41,54,x+y,95
add 62 and 19,62,19,x+y,81
add 52 and 28,52,28,x+y,80
add 87 and 22,87,22,x+y,109
add 95 and 40,95,40,x+y,135
add 22 and 36,22,36,x+y,58
add 39 and 44,39,44,x+y,83
add 40 and 99,40,99,x+y,139
add 97 and 33,97,33,x+y,130
add 11 and 81,11,81,x+y,92
add 61 and 92,61,92,x+y,153
add 77 and 79,77,79,x+y,156
add 54 and 66,54,66,x+y,120
add 47 and 81,47,81,x+y,128
add 5 and 56,5,56,x+y,61
add 99 and 30,99,30,x+y,129
add 1 and 34,1,34,x+y,35
add 66 and 12,66,12,x+y,78
add 60 and 1,60,1,x+y,61
add 5 and 83,5,83,x+y,88
add 39 and 80,39,80,x+y,119
